No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_1.started,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,6.7780109999998785,8.790181299999858,8.790181299999858,space,0.9293795999997201,None,,,,,,,,,,,,,,,,,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
,,,,,,,,,,,,,,,,,,,,,,,,,9.740246800000023,9.740246800000023,space,0.31557100000009086,None,,,,,,,,,,,,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,0,0,3,,,,,,,,,,,,10.140427299999828,10.140427299999828,space,0.12331969999968351,None,10.334827199999836,11.306550499999958,11.306550499999958,11.306550499999958,13.206294699999944,14.213813700000173,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,14.213813700000173,15.223117399999865,15.223117399999865,15.223117399999865,17.25670450000007,18.257775000000038,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,18.257775000000038,19.256388700000116,19.256388700000116,19.256388700000116,20.056746100000055,21.057933199999752,19.256388700000116,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,21.057933199999752,22.073141899999882,22.073141899999882,22.073141899999882,22.973247399999764,23.97447349999993,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,23.97447349999993,24.97308040000007,24.97308040000007,24.97308040000007,26.040027200000168,27.041228300000057,24.97308040000007,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,27.041228300000057,28.05662940000002,28.05662940000002,28.05662940000002,29.20672310000009,30.21095860000014,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,30.21095860000014,31.223265099999935,31.223265099999935,31.223265099999935,32.30670569999984,33.31292519999988,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,33.31292519999988,34.32326210000019,34.32326210000019,34.32326210000019,35.39013190000014,36.39025339999989,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,0,1,0,0,0,0,6,,,,,,,,,,,,36.39025339999989,36.39025339999989,space,0.9927565999996659,None,37.42072419999977,38.4231577999999,38.4231577999999,38.4231577999999,40.12324260000014,41.123660299999756,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,0,1,0,0,1,1,2,,,,,,,,,,,,,,,,,41.123660299999756,42.1232614999999,42.1232614999999,42.1232614999999,43.37326179999991,44.37477489999992,42.1232614999999,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,,44.37477489999992,45.39008460000014,45.39008460000014,45.39008460000014,47.523222299999816,48.5236261,,216856,001,2023-11-06_19h33.48.346,ETproject_Chi_2023.1.1,2023.1.3,60.028189237698584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5236261,49.52315060000001,49.52315060000001,49.52315060000001,,,49.52315060000001,,,,,,,
